iSub,iSession,iTrial,text
24,1,1,头和腿比较长，尾巴比较长，尾巴比腿稍短一些，脖子较短。
24,1,2,头和脖子中等偏长，腿、尾巴较短。
24,1,3,头和尾巴中等长度，脖子和腿中等偏短。
24,1,4,脖子和腿较长，头中等长度，尾巴中等偏短。
24,1,5,头长等偏长，脖子和腿长等长度，尾巴较短。
24,1,6,头和尾巴偏短，腿中等长度，脖子较长。
24,1,7,头较短，脖子偏短，腿中等长度，尾巴较长。
24,1,8,头和腿较长，脖子和尾巴中等长度。
24,1,9,头较长，脖子中等偏短，腿部中等长度，尾巴中等长度。
24,1,10,头中等长度，脖子较长，腿和尾巴中等长度。
24,1,11,头较长，脖子和腿中等长度，尾巴较长。
24,1,12,头和脖子较短，腿较长，尾巴中等长度。
24,1,13,头偏短，脖子较短，尾巴较短，腿偏长。
24,1,14,头和脖子中等长度，腿偏短，尾巴偏短。
24,1,15,头和脖子中等长度，腿较长，尾巴中等偏长。
24,1,16,头中等长度，尾巴中等偏短，腿中等偏长，尾巴中等偏短。
24,1,17,头较短，脖子较长，腿较短，尾巴较长。
24,1,18,头偏短，脖子中等长度，腿较长，尾巴中等偏长。
24,1,19,头较短，脖子长，腿和尾巴短。
24,1,20,头较短，脖子和腿中等偏长，尾巴较长。
24,1,21,头中等长度，脖子和尾巴较长，腿中等长度。
24,1,22,头和脖子较长，腿中等长度，尾巴较短。
24,1,23,头和脖子中等偏长，腿中等长，尾巴中等偏长。
24,1,24,头较短，脖子中等长度，腿短，尾巴中等偏长。
24,1,25,头和腿较长，脖子偏长，尾巴中等长度。
24,1,26,头偏短，脖子较短，腿短，尾巴长。
24,1,27,头较短，脖子较长，腿短，尾巴中等长度。
24,1,28,头长，脖子较长，腿较长，尾巴较长。
24,1,29,头较短，脖子中等长度，腿中等偏短，尾巴较短。
24,1,30,头较长，脖子中等偏长，腿和尾巴较短。
24,1,31,脖子和头较长，腿和尾巴较短。
24,1,32,头长，脖子短，腿长，尾巴短。
24,1,33,头较长，脖子中等较长，腿短，尾巴较长。
24,1,34,头中等偏长，脖子中等长度，腿短，尾巴中等偏长。
24,1,35,头短，脖子偏长，腿长。
24,1,36,头中等长度，脖子短，腿较短。
24,1,37,头较长，脖子较长，腿较长。
24,1,38,头中等偏短，脖子较长，腿长。
24,1,39,头和脖子较短，腿较短。
24,1,40,头短，脖子长，腿较短。
24,1,41,头短，脖子中等长度，腿长。
24,1,42,头中等偏长，脖子中等长度，腿中等偏长。
24,1,43,头短，脖子较长，腿短。
24,1,44,头中等偏长，脖子较长，腿中等偏短。
24,1,45,头较长，脖子短，腿中等长度。
24,1,46,头短，脖子中等偏短，腿长。
24,1,47,头较短，脖子短，腿短。
24,1,48,头长，脖子短，腿长。
24,1,49,头中等长度，脖子短，腿较短。
24,1,50,脖子中等偏长，腿较短。
24,1,51,脖子长，腿长。
24,1,52,头和脖子较短。
24,1,53,头较短，脖子短。
24,1,54,头较短，脖子短。
24,1,55,头长，腿短。
24,1,56,头较短，脖子较短。
24,1,57,脖子长，腿短。
24,1,58,头较短，脖子短。
24,1,59,头长，脖子短。
24,1,60,脖子长，腿长。
24,1,61,头短，脖子中等偏短。
24,1,62,头中等偏短，脖子较短。
24,1,63,头中等偏长，脖子较短。
24,1,64,头长，脖子短。
24,1,65,头短，脖子短。
24,1,66,脖子较长，腿短。
24,1,67,脖子较长，腿较短。
24,1,68,脖子较长，腿较短。
24,1,69,脖子较长，腿较短。
24,1,70,头较长，脖子短。
24,1,71,头较长，脖子较短。
24,1,72,脖子较长，腿长。
24,1,73,头较长，脖子较短。
24,1,74,头短，脖子较短。
24,1,75,头短，脖子短。
24,1,76,脖子较长，腿长。
24,1,77,头较短，脖子短。
24,1,78,头较短，脖子较短。
24,1,79,脖子较长，腿中等偏长。
24,1,80,头较长，脖子较短。
24,1,81,头较长，脖子较短。
24,1,82,脖子较长，腿较短。
24,1,83,脖子长，腿较长。
24,1,84,脖子较长，腿较长。
24,1,85,头长，脖子短。
24,1,86,脖子长，腿长。
24,1,87,脖子较长，腿较长。
24,1,88,头长，脖子较短。
24,1,89,头长，脖子短。
24,1,90,脖子长，腿较长。
24,1,91,脖子较长，腿较短。
24,1,92,头较长，脖子较短。
24,1,93,脖子较长，腿较长。
24,1,94,头较短，脖子短。
24,1,95,脖子较长，腿较短。
24,1,96,头较短，脖子较短。
24,1,97,脖子长，腿长。
24,1,98,头长，脖子较短。
24,1,99,头短，脖子短。
24,1,100,脖子长，腿较短。
24,1,101,头较短，脖子较短。
24,1,102,脖子长，腿较短。
24,1,103,头较短，脖子短。
24,1,104,脖子长，腿较长。
24,1,105,头较长，脖子短。
24,1,106,脖子较长，腿较长。
24,1,107,脖子长，腿长。
24,1,108,头较长，脖子较短。
24,1,109,脖子长，腿较长。
24,1,110,头较长，脖子短。
24,1,111,脖子较长，腿较长。
24,1,112,头较短，脖子短。
24,1,113,头较短，脖子较短。
24,1,114,头长，脖子短。
24,1,115,头较短，脖子较短。
24,1,116,头较短，脖子短。
24,1,117,脖子较长，腿较短。
24,1,118,脖子长，腿短。
24,1,119,头长，脖子较短。
24,1,120,脖子长，腿长。
24,1,121,头长，脖子较短。
24,1,122,脖子较长，腿较短。
24,1,123,头较长，脖子较短。
24,1,124,头较长，脖子较短。
24,1,125,脖子长，腿较短。
24,1,126,脖子长，腿长。
24,1,127,脖子较长，腿较长。
24,1,128,头长，脖子短。
